class,sepal_length_mean,volume
Iris-setosa,5.006,38.13265162927291
Iris-setosa,5.006,35.200498485922445
Iris-setosa,5.006,30.0723720777127
Iris-setosa,5.006,33.238050274980004
Iris-setosa,5.006,36.65191429188092
Iris-setosa,5.006,51.911677007917746
Iris-setosa,5.006,31.022180256648003
Iris-setosa,5.006,39.269908169872416
Iris-setosa,5.006,28.38324242763259
Iris-setosa,5.006,37.714819806345474
Iris-setosa,5.006,45.80442088933919
Iris-setosa,5.006,38.60389052731138
Iris-setosa,5.006,33.77840421139745
Iris-setosa,5.006,21.298950993787603
Iris-setosa,5.006,42.273270746704256
Iris-setosa,5.006,51.03517265756619
Iris-setosa,5.006,39.69716477076063
Iris-setosa,5.006,38.13265162927291
Iris-setosa,5.006,57.83986234524169
Iris-setosa,5.006,40.85641245993526
Iris-setosa,5.006,51.911677007917746
Iris-setosa,5.006,40.85641245993526
Iris-setosa,5.006,22.158700183320004
Iris-setosa,5.006,46.303934121259964
Iris-setosa,5.006,45.84212000118226
Iris-setosa,5.006,41.88790204786391
Iris-setosa,5.006,41.88790204786391
Iris-setosa,5.006,42.47433267653401
Iris-setosa,5.006,39.6427104980984
Iris-setosa,5.006,37.01215024949256
Iris-setosa,5.006,38.60389052731138
Iris-setosa,5.006,45.80442088933919
Iris-setosa,5.006,42.47433267653401
Iris-setosa,5.006,44.34881629317591
Iris-setosa,5.006,37.714819806345474
Iris-setosa,5.006,31.415926535897928
Iris-setosa,5.006,41.18104370080621
Iris-setosa,5.006,37.714819806345474
Iris-setosa,5.006,26.355867968515977
Iris-setosa,5.006,40.85641245993526
Iris-setosa,5.006,34.033920413889426
Iris-setosa,5.006,27.567475535250434
Iris-setosa,5.006,26.355867968515977
Iris-setosa,5.006,41.88790204786391
Iris-setosa,5.006,51.75145578258466
Iris-setosa,5.006,33.77840421139745
Iris-setosa,5.006,43.58017329059761
Iris-setosa,5.006,31.022180256648003
Iris-setosa,5.006,44.123668819668644
Iris-setosa,5.006,36.65191429188092
Iris-versicolor,5.936,241.16959604057647
Iris-versicolor,5.936,193.01945263655693
Iris-versicolor,5.936,244.29966952110314
Iris-versicolor,5.936,126.71090369478833
Iris-versicolor,5.936,203.52284407505874
Iris-versicolor,5.936,153.10551797269858
Iris-versicolor,5.936,195.34737279286693
Iris-versicolor,5.936,82.97260357396004
Iris-versicolor,5.936,209.8332565185694
Iris-versicolor,5.936,110.43326495898843
Iris-versicolor,5.936,91.62978572970229
Iris-versicolor,5.936,153.102376380045
Iris-versicolor,5.936,150.79644737231007
Iris-versicolor,5.936,183.14123813611934
Iris-versicolor,5.936,118.22441473989107
Iris-versicolor,5.936,206.83827152214724
Iris-versicolor,5.936,147.78051842486386
Iris-versicolor,5.936,144.43367505123953
Iris-versicolor,5.936,181.1442324059875
Iris-versicolor,5.936,128.07644930154868
Iris-versicolor,5.936,174.97414443433715
Iris-versicolor,5.936,155.86488352010159
Iris-versicolor,5.936,203.66002695426553
Iris-versicolor,5.936,183.14123813611934
Iris-versicolor,5.936,184.4408102971544
Iris-versicolor,5.936,200.71007145254472
Iris-versicolor,5.936,232.42759088318724
Iris-versicolor,5.936,235.04349036607638
Iris-versicolor,5.936,169.64600329384882
Iris-versicolor,5.936,119.08206953432112
Iris-versicolor,5.936,120.3753585100489
Iris-versicolor,5.936,117.2075859176792
Iris-versicolor,5.936,137.38812992678882
Iris-versicolor,5.936,192.26547039969532
Iris-versicolor,5.936,137.41326266801755
Iris-versicolor,5.936,169.64600329384882
Iris-versicolor,5.936,220.94088094411177
Iris-versicolor,5.936,182.87839155076904
Iris-versicolor,5.936,134.6444723426537
Iris-versicolor,5.936,126.71090369478833
Iris-versicolor,5.936,139.38199406426716
Iris-versicolor,5.936,179.2446160481168
Iris-versicolor,5.936,140.9109024890142
Iris-versicolor,5.936,86.3937979737193
Iris-versicolor,5.936,137.92848386320625
Iris-versicolor,5.936,142.89848344118533
Iris-versicolor,5.936,142.89848344118533
Iris-versicolor,5.936,173.09337763238804
Iris-versicolor,5.936,81.71282491987051
Iris-versicolor,5.936,139.49613859734757
Iris-virginica,6.587999999999998,249.37962484195774
Iris-virginica,6.587999999999998,179.66140067349306
Iris-virginica,6.587999999999998,311.4564484793409
Iris-virginica,6.587999999999998,232.7543165191606
Iris-virginica,6.587999999999998,256.61575992072625
Iris-virginica,6.587999999999998,399.20846167696214
Iris-virginica,6.587999999999998,113.14445941903642
Iris-virginica,6.587999999999998,351.57249227058014
Iris-virginica,6.587999999999998,272.65044882464855
Iris-virginica,6.587999999999998,331.1489984295929
Iris-virginica,6.587999999999998,225.64489234408688
Iris-virginica,6.587999999999998,227.33402199416705
Iris-virginica,6.587999999999998,266.3232812203187
Iris-virginica,6.587999999999998,170.1172421918873
Iris-virginica,6.587999999999998,179.66140067349306
Iris-virginica,6.587999999999998,227.33402199416705
Iris-virginica,6.587999999999998,243.34253095930936
Iris-virginica,6.587999999999998,415.99189682999014
Iris-virginica,6.587999999999998,428.4095653920794
Iris-virginica,6.587999999999998,188.4955592153876
Iris-virginica,6.587999999999998,284.1853298510792
Iris-virginica,6.587999999999998,160.91656450707399
Iris-virginica,6.587999999999998,415.99189682999014
Iris-virginica,6.587999999999998,203.66002695426553
Iris-virginica,6.587999999999998,267.94957901732704
Iris-virginica,6.587999999999998,325.7203263241898
Iris-virginica,6.587999999999998,193.22051456638667
Iris-virginica,6.587999999999998,190.93448231212446
Iris-virginica,6.587999999999998,240.20198550327083
Iris-virginica,6.587999999999998,314.86298211338345
Iris-virginica,6.587999999999998,349.8016812115067
Iris-virginica,6.587999999999998,418.27583468914986
Iris-virginica,6.587999999999998,240.20198550327083
Iris-virginica,6.587999999999998,211.97268111566407
Iris-virginica,6.587999999999998,218.2108369281422
Iris-virginica,6.587999999999998,378.73889114372236
Iris-virginica,6.587999999999998,232.7543165191606
Iris-virginica,6.587999999999998,235.91266433356955
Iris-virginica,6.587999999999998,180.95573684677208
Iris-virginica,6.587999999999998,269.22820722733815
Iris-virginica,6.587999999999998,263.24870921000553
Iris-virginica,6.587999999999998,254.27108460359707
Iris-virginica,6.587999999999998,179.66140067349306
Iris-virginica,6.587999999999998,285.692247127251
Iris-virginica,6.587999999999998,267.94957901732704
Iris-virginica,6.587999999999998,244.4452299807194
Iris-virginica,6.587999999999998,207.8163540349648
Iris-virginica,6.587999999999998,230.0693019978925
Iris-virginica,6.587999999999998,217.373078887185
Iris-virginica,6.587999999999998,185.9100284614832
